content_id,question_id
126,1
127,2
128,3
129,4
130,5
131,6
132,7
133,8
134,9
135,10
136,11
137,12
138,13
139,14
140,15
141,16
142,17
143,18
144,19
145,20
146,21
147,22
148,23
149,24
150,25
151,26
152,27
153,28
154,29
155,30
156,31
157,32
158,33
159,34
160,35
161,36
162,37
163,38
164,39
165,40
166,41
167,42
168,43
169,44
170,45
171,46
172,47
173,48
174,49
175,50
176,51
177,52
178,53
179,54
180,55
181,56
182,57
183,58
184,59
185,60
186,61
187,62
188,63
189,64
190,65
191,66
192,67
193,68
194,69
195,70
196,71
197,72
198,73
199,74
200,75
